Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11, Digikey, Label
L1,OSHW,C4_Pretty:Logo_silk_OSHW_6x6mm,
L2,Wyolum,C4_Pretty:Logo-WL3,
SW1,SW_RST,C4_Pretty:SW_SMD,
R2,10K,C4_Pretty:r_0805,
C9,100n,C4_Pretty:c_0805,
R8,4K7,C4_Pretty:r_0805,
C10,47u,C4_Pretty:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442,,
R1,470R,C4_Pretty:r_0805,
P2,FTDI,C4_Pretty:Header_FTDI,
C6,100n,C4_Pretty:c_0805,
P1,ICSP,C4_Pretty:ISP,
C8,100n,C4_Pretty:c_0805,
C11,100n,C4_Pretty:c_0805,
R6,10K,C4_Pretty:r_0805,
R7,10K,C4_Pretty:r_0805,
U2,DS3231N,C4_Pretty:DS3231,
C5,22p,C4_Pretty:c_0805,
C7,22p,C4_Pretty:c_0805,
C1,100n,C4_Pretty:c_0805,
S4,CONN_1,C4_Pretty:Screw_3mm,
S3,CONN_1,C4_Pretty:Screw_3mm,
S1,CONN_1,C4_Pretty:Screw_3mm,
S2,CONN_1,C4_Pretty:Screw_3mm,
R9,4K7,C4_Pretty:r_0805,
U1,ATMEGA328P,C4_Pretty:TQFP32,
C3,100n,C4_Pretty:c_0805,
C194,47u,C4_Pretty:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442,,
C195,47u,C4_Pretty:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442,,
C196,47u,C4_Pretty:c_2917,,CAP ALUM 47UF 8V 20% SMD,47u,8V,2917 (7343 Metric),Panasonic Electronic Components,EEF-CD0K470R,Digikey,PCE3606CT-ND,http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442,,
A6,CONN_1,C4_Pretty:BreakOutPad,
A7,CONN_1,C4_Pretty:BreakOutPad,
D7,CONN_1,C4_Pretty:BreakOutPad,
BT1,Batt_RTC,C4_Pretty:CR2032_SMD2,,,,,,,,,,BU2032SM-HD-GCT-ND ,
X1,16MHz,C4_Pretty:Xtal_SMD3,
S10,CONN_1,C4_Pretty:Slot_tiewrap,
S11,CONN_1,C4_Pretty:Slot_tiewrap,
S12,CONN_1,C4_Pretty:Slot_tiewrap,
S13,CONN_1,C4_Pretty:Slot_tiewrap,
P9,I2C_R,C4_Pretty:STACK-R,
P7,I2C_L,C4_Pretty:STACK-L,
C197,100n,C4_Pretty:c_0805,
C198,100n,C4_Pretty:c_0805,
P6,5VEN_L,C4_Pretty:r_0805,
P8,5VEN_R,C4_Pretty:r_0805,
SW2,SW_L,C4_Pretty:SW_SMD,,,,,,,,,,,Mode
SW3,SW_R,C4_Pretty:SW_SMD,,,,,,,,,,,Color
R10,10K,C4_Pretty:r_0805,
R11,10K,C4_Pretty:r_0805,
L3,Wyolum,C4_Pretty:Logo-WL3,
R12,0R,C4_Pretty:r_0805,
R13,0R,C4_Pretty:r_0805,
B2,CONN_1,C4_Pretty:BreakOutPad,
P10,Marquee,C4_Pretty:Header_4x1,
C199,100n,C4_Pretty:c_0805,
A3,CONN_1,C4_Pretty:BreakOutPad,
R3,10K,C4_Pretty:r_0805,
R4,470R,C4_Pretty:r_0805,
LDR1,LDR,C4_Pretty:r_0805_ldr,
R5,10K,C4_Pretty:r_0805,
LDR2,LDR,C4_Pretty:r_0805_ldr,
R14,10K,C4_Pretty:r_0805,
LDR3,LDR,C4_Pretty:r_0805_ldr,
R15,10K,C4_Pretty:r_0805,
P5,PWR_IN,C4_Pretty:Header_3x1_PWR,
P3,PWR_IN,C4_Pretty:Header_3x1_PWR,
L4,Chronogram,C4_Pretty:Logo_silk_OSHW_6x6mm,
D1,SMBJ5339B,,
F1,miniSMDC200F/16,,
C12,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C13,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C14,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C15,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C16,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C17,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C18,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C19,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C20,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C21,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C22,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C23,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C24,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C25,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
LED1,WS2812B,C4_Pretty:RGB_WS2811B,
LED2,WS2812B,C4_Pretty:RGB_WS2811B,
LED3,WS2812B,C4_Pretty:RGB_WS2811B,
LED4,WS2812B,C4_Pretty:RGB_WS2811B,
LED5,WS2812B,C4_Pretty:RGB_WS2811B,
LED6,WS2812B,C4_Pretty:RGB_WS2811B,
LED7,WS2812B,C4_Pretty:RGB_WS2811B,
LED8,WS2812B,C4_Pretty:RGB_WS2811B,
LED9,WS2812B,C4_Pretty:RGB_WS2811B,
LED10,WS2812B,C4_Pretty:RGB_WS2811B,
LED11,WS2812B,C4_Pretty:RGB_WS2811B,
LED12,WS2812B,C4_Pretty:RGB_WS2811B,
LED13,WS2812B,C4_Pretty:RGB_WS2811B,
LED14,WS2812B,C4_Pretty:RGB_WS2811B,
C26,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C27,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C28,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C29,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C30,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C31,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C32,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C33,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C34,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C35,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C36,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C37,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C38,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C39,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
LED15,WS2812B,C4_Pretty:RGB_WS2811B,
LED16,WS2812B,C4_Pretty:RGB_WS2811B,
LED17,WS2812B,C4_Pretty:RGB_WS2811B,
LED18,WS2812B,C4_Pretty:RGB_WS2811B,
LED19,WS2812B,C4_Pretty:RGB_WS2811B,
LED20,WS2812B,C4_Pretty:RGB_WS2811B,
LED21,WS2812B,C4_Pretty:RGB_WS2811B,
LED22,WS2812B,C4_Pretty:RGB_WS2811B,
LED23,WS2812B,C4_Pretty:RGB_WS2811B,
LED24,WS2812B,C4_Pretty:RGB_WS2811B,
LED25,WS2812B,C4_Pretty:RGB_WS2811B,
LED26,WS2812B,C4_Pretty:RGB_WS2811B,
LED27,WS2812B,C4_Pretty:RGB_WS2811B,
LED28,WS2812B,C4_Pretty:RGB_WS2811B,
C40,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C41,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C42,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C43,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C44,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C45,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C46,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C47,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C48,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C49,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C50,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C51,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C52,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C53,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
LED29,WS2812B,C4_Pretty:RGB_WS2811B,
LED30,WS2812B,C4_Pretty:RGB_WS2811B,
LED31,WS2812B,C4_Pretty:RGB_WS2811B,
LED32,WS2812B,C4_Pretty:RGB_WS2811B,
LED33,WS2812B,C4_Pretty:RGB_WS2811B,
LED34,WS2812B,C4_Pretty:RGB_WS2811B,
LED35,WS2812B,C4_Pretty:RGB_WS2811B,
LED36,WS2812B,C4_Pretty:RGB_WS2811B,
LED37,WS2812B,C4_Pretty:RGB_WS2811B,
LED38,WS2812B,C4_Pretty:RGB_WS2811B,
LED39,WS2812B,C4_Pretty:RGB_WS2811B,
LED40,WS2812B,C4_Pretty:RGB_WS2811B,
LED41,WS2812B,C4_Pretty:RGB_WS2811B,
LED42,WS2812B,C4_Pretty:RGB_WS2811B,
C54,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C55,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C56,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C57,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C58,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C59,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C60,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C61,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C62,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C63,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C64,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C65,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
C66,100n,C4_Pretty:c_0805_led,,CAP CER 0.1UF 25V 10% X7R 0805,100n, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443,,
